    0 5042
  500 4995
 1000 4948
 1500 4887
 2000 4868
 2500 4863
 3000 4865
 3500 4869
 4000 4875
 5000 4875
 6000 4887
 7000 4905
 8000 4918
 9000 4933
10000 4949
11000 4973
12000 4991
